name,iso_code,latittude,longitude
"Laksmipur",BD-50,NULL,NULL
"Lalmonirhat",BD-51,NULL,NULL
"Madaripur",BD-52,23.16540000000,90.19860000000
"Magura",BD-53,26.28000000000,88.51000000000
"Manikganj",BD-54,NULL,NULL
"Meherpur",BD-55,23.77120000000,88.64250000000
"Moulavibazar",BD-56,NULL,NULL
"Munshiganj",BD-57,23.54997100000,90.52522300000
"Mymensingh",BD-12,24.75570000000,90.39810000000
"Naogaon",BD-58,24.80452000000,88.93525700000
"Narail",BD-59,23.16000000000,89.50000000000
"Narayanganj",BD-60,23.61900000000,90.49790000000
"Narsingdi",BD-61,NULL,NULL
"Nator",BD-62,24.41450000000,88.99150000000
"Netrakona",BD-63,24.88610100000,90.72913400000
"Nilphamari",BD-64,25.93454000000,88.84956400000
"Noakhali",BD-13,22.81008000000,91.09974700000
"Pabna",BD-65,24.00480000000,89.25790000000
"Panchagar",BD-66,NULL,NULL
"Parbattya Chattagram",BD-67,NULL,NULL
"Patuakhali",BD-15,22.35588100000,90.24210400000
"Pirojpur",BD-68,22.57352100000,89.98737300000
"Rajbari",BD-69,23.75408900000,89.65197000000
"Rajshahi",BD-70,25.22802800000,88.95433400000
"Rangpur",BD-71,25.75000000000,89.23330000000
"Satkhira",BD-72,22.70439900000,89.08293900000
"Shariyatpur",BD-73,NULL,NULL
"Sherpur",BD-74,25.01640000000,90.01430000000
"Sirajganj",BD-75,24.45539100000,89.69995100000
"Sunamganj",BD-76,25.04562000000,91.38715400000
"Sylhet",BD-77,24.58997800000,91.72658700000
"Tangail",BD-78,24.24470000000,89.92430000000
"Thakurgaon",BD-79,26.01666700000,88.46666700000
"Antwerpen",BE-01,NULL,NULL
"Brabant",BE-02,NULL,NULL
"Brabant Wallon",BE-10,50.66634800000,4.55561300000
"Brussels Hoofdstedelijk Gewest",BE-11,NULL,NULL
"Hainaut",BE-03,NULL,NULL
"Liege",BE-04,NULL,NULL
"Limburg",BE-05,NULL,NULL
"Luxembourg",BE-06,NULL,NULL
"Namur",BE-07,NULL,NULL
"Oost-Vlaanderen",BE-08,NULL,NULL
"Vlaams-Brabant",BE-12,NULL,NULL
"West-Vlaanderen",BE-09,NULL,NULL
"Bale",BF-45,13.70000000000,-0.61666700000
"Bam",BF-15,NULL,NULL
"Banwa",BF-46,NULL,NULL
"Bazega",BF-47,NULL,NULL
"Bougouriba",BF-48,NULL,NULL
"Boulgou",BF-49,12.51166000000,0.83241500000
"Boulkiemde",BF-19,NULL,NULL
"Ganzourgou",BF-20,NULL,NULL
"Gnagna",BF-21,NULL,NULL
"Gourma",BF-50,12.93333300000,0.73333300000
"Houet",BF-51,NULL,NULL
"Ioba",BF-52,NULL,NULL
"Kadiogo",BF-53,NULL,NULL
"Kenedougou",BF-54,NULL,NULL
"Komoe",BF-55,NULL,NULL
"Komondjari",BF-56,NULL,NULL
"Kompienga",BF-57,NULL,NULL
"Kossi",BF-58,NULL,NULL
"Koulpelogo",BF-59,NULL,NULL
"Kouritenga",BF-28,NULL,NULL
"Kourweogo",BF-60,NULL,NULL
"Leraba",BF-61,10.06782000000,-4.79913300000
"Loroum",BF-62,NULL,NULL
"Mouhoun",BF-63,NULL,NULL
"Namentenga",BF-64,NULL,NULL
"Naouri",BF-65,12.13333300000,0.58333300000
"Nayala",BF-66,NULL,NULL
"Noumbiel",BF-67,NULL,NULL
"Oubritenga",BF-68,NULL,NULL
"Oudalan",BF-33,NULL,NULL
"Passore",BF-34,NULL,NULL
"Poni",BF-69,NULL,NULL
"Sanguie",BF-36,NULL,NULL
"Sanmatenga",BF-70,NULL,NULL
"Seno",BF-71,14.36666700000,-0.56666700000
"Sissili",BF-72,NULL,NULL
"Soum",BF-40,NULL,NULL
"Sourou",BF-73,11.41666700000,-1.86666700000
"Tapoa",BF-42,12.48433700000,2.39936500000
"Tuy",BF-74,NULL,NULL
"Yagha",BF-75,10.46666700000,-2.78333300000
"Yatenga",BF-76,NULL,NULL
"Ziro",BF-77,NULL,NULL
"Zondoma",BF-78,NULL,NULL
"Zoundweogo",BF-44,NULL,NULL
"Blagoevgrad",BG-38,NULL,NULL
"Burgas",BG-39,NULL,NULL
"Dobrich",BG-40,NULL,NULL
"Gabrovo",BG-41,NULL,NULL
"Grad Sofiya",BG-42,NULL,NULL
"Khaskovo",BG-43,NULL,NULL
"Kurdzhali",BG-44,NULL,NULL
"Kyustendil",BG-45,NULL,NULL
"Lovech",BG-46,NULL,NULL
"Mikhaylovgrad",BG-33,NULL,NULL
"Montana",BG-47,NULL,NULL
"Pazardzhik",BG-48,NULL,NULL
"Pernik",BG-49,NULL,NULL
"Pleven",BG-50,NULL,NULL
"Plovdiv",BG-51,NULL,NULL
"Razgrad",BG-52,NULL,NULL
"Ruse",BG-53,NULL,NULL
"Shumen",BG-54,NULL,NULL
"Silistra",BG-55,NULL,NULL
"Sliven",BG-56,NULL,NULL
"Smolyan",BG-57,NULL,NULL
"Sofiya",BG-58,NULL,NULL
"Stara Zagora",BG-59,NULL,NULL
"Turgovishte",BG-60,NULL,NULL
"Varna",BG-61,NULL,NULL
"Veliko Turnovo",BG-62,NULL,NULL
"Vidin",BG-63,NULL,NULL
"Vratsa",BG-64,NULL,NULL
"Yambol",BG-65,NULL,NULL
"Al Hadd",BH-01,NULL,NULL
"Al Manamah",BH-02,NULL,NULL
"Al Mintaqah al Gharbiyah",BH-08,26.04178000000,50.49752900000
"Al Mintaqah al Wusta",BH-11,26.17831500000,50.53250800000
"Al Mintaqah ash Shamaliyah",BH-10,NULL,NULL
"Al Muharraq",BH-03,NULL,NULL
"Ar Rifa",BH-13,26.12980000000,50.53700000000
"Jidd Hafs",BH-05,NULL,NULL
"Madinat",BH-12,NULL,NULL
"Madinat Hamad",BH-14,26.10045600000,50.51252100000
"Mintaqat Juzur Hawar",BH-09,NULL,NULL
"Sitrah",BH-06,26.16101200000,50.62515100000
"Bubanza",BI-09,-3.13350200000,29.38668600000
"Bujumbura",BI-02,NULL,NULL
"Bururi",BI-10,-3.88226900000,29.64166700000
"Cankuzo",BI-11,-3.15000000000,30.60367600000
"Cibitoke",BI-12,-2.83333300000,29.22500000000
"Gitega",BI-13,-3.44166700000,29.91666600000
"Karuzi",BI-14,-3.12500000000,30.12500000000
"Kayanza",BI-15,-3.02500000000,29.64166700000
"Kirundo",BI-16,-2.55000000000,30.15833300000
"Makamba",BI-17,-4.19166700000,29.82500000000
"Muramvya",BI-22,-3.38333300000,29.69166600000
"Muyinga",BI-18,-2.70833300000,30.30000000000
"Mwaro",BI-23,NULL,NULL
"Ngozi",BI-19,-2.90000000000,29.87500000000
"Rutana",BI-20,-3.82500000000,30.16666600000
"Ruyigi",BI-21,-3.45541800000,30.35833300000
"Atakora",BJ-01,NULL,NULL
"Atlantique",BJ-02,NULL,NULL
"Borgou",BJ-03,NULL,NULL
"Mono",BJ-04,NULL,NULL
"Oueme",BJ-05,NULL,NULL
"Zou",BJ-06,NULL,NULL
"Devonshire",BM-01,33.73958000000,-116.30926700000
"Hamilton",BM-02,32.32933700000,-64.70600000000
"Paget",BM-04,NULL,NULL
"Pembroke",BM-05,37.28994900000,-77.43291400000
"Saint George",BM-06,NULL,NULL
"Saint George's",BM-07,NULL,NULL
"Sandys",BM-08,NULL,NULL
"Smiths",BM-09,NULL,NULL
"Southampton",BM-10,37.23734200000,-77.37665900000
"Warwick",BM-11,37.45889000000,-77.42306000000
"Alibori",BN-07,NULL,NULL
"Belait",BN-08,4.44975800000,114.31870300000
"Brunei and Muara",BN-09,NULL,NULL
"Collines",BN-11,NULL,NULL
"Donga",BN-13,NULL,NULL
"Kouffo",BN-12,NULL,NULL
"Littoral",BN-14,NULL,NULL
"Oueme",BN-16,NULL,NULL
"Plateau",BN-17,NULL,NULL
"Temburong",BN-10,NULL,NULL
"Tutong",BN-15,4.80578400000,114.64669800000
"Zou",BN-18,NULL,NULL
"Chuquisaca",BO-01,NULL,NULL
"Cochabamba",BO-02,NULL,NULL
"El Beni",BO-03,NULL,NULL
"La Paz",BO-04,NULL,NULL
"Oruro",BO-05,NULL,NULL
"Pando",BO-06,-11.08862300000,-67.42319800000
"Potosi",BO-07,NULL,NULL
"Santa Cruz",BO-08,NULL,NULL
"Tarija",BO-09,NULL,NULL
"Acre",BR-01,NULL,NULL
"Alagoas",BR-02,NULL,NULL
"Amapa",BR-03,NULL,NULL
"Amazonas",BR-04,NULL,NULL
"Bahia",BR-05,NULL,NULL
"Ceara",BR-06,NULL,NULL
"Distrito Federal",BR-07,NULL,NULL
"Espirito Santo",BR-08,NULL,NULL
"Goias",BR-29,NULL,NULL
"Maranhao",BR-13,NULL,NULL
"Mato Grosso",BR-14,NULL,NULL
"Mato Grosso do Sul",BR-11,NULL,NULL
"Minas Gerais",BR-15,NULL,NULL
"Para",BR-16,NULL,NULL
"Paraiba",BR-17,NULL,NULL
"Parana",BR-18,NULL,NULL
"Pernambuco",BR-30,NULL,NULL
"Piaui",BR-20,NULL,NULL
"Rio de Janeiro",BR-21,NULL,NULL
"Rio Grande do Norte",BR-22,NULL,NULL
"Rio Grande do Sul",BR-23,NULL,NULL
"Rondonia",BR-24,NULL,NULL
"Roraima",BR-25,NULL,NULL
"Santa Catarina",BR-26,NULL,NULL
"Sao Paulo",BR-27,NULL,NULL
"Sergipe",BR-28,NULL,NULL
"Tocantins",BR-31,NULL,NULL
"Acklins and Crooked Islands",BS-24,NULL,NULL
"Bimini",BS-05,25.70037800000,-79.26474000000
"Cat Island",BS-06,24.40320900000,-75.52594800000
"Exuma",BS-10,23.56913000000,-75.84544700000
"Freeport",BS-25,NULL,NULL
"Fresh Creek",BS-26,NULL,NULL
"Governor's Harbour",BS-27,NULL,NULL
"Green Turtle Cay",BS-28,NULL,NULL
"Harbour Island",BS-22,NULL,NULL
"High Rock",BS-29,NULL,NULL
"Inagua",BS-13,20.97722200000,-73.66527600000
"Kemps Bay",BS-30,23.86666700000,-77.51666700000
"Long Island",BS-15,23.27165100000,-75.08570800000
"Marsh Harbour",BS-31,NULL,NULL
"Mayaguana",BS-16,22.37952800000,-73.01350000000
"New Providence",BS-23,NULL,NULL
"Nichollstown and Berry Islands",BS-32,NULL,NULL
"Ragged Island",BS-18,22.22731000000,-75.73079300000
"Rock Sound",BS-33,24.96731000000,-76.18382300000
"San Salvador and Rum Cay",BS-35,NULL,NULL
"Sandy Point",BS-34,26.00463900000,-77.39548300000
"Bumthang",BT-05,27.68225900000,90.63064300000
"Chhukha",BT-06,NULL,NULL
"Chirang",BT-07,NULL,NULL
"Daga",BT-08,NULL,NULL
"Geylegphug",BT-09,NULL,NULL
"Ha",BT-10,NULL,NULL
"Lhuntshi",BT-11,NULL,NULL
"Mongar",BT-12,27.12915200000,91.16715600000
"Paro",BT-13,27.51356800000,89.35705800000
"Pemagatsel",BT-14,NULL,NULL
"Punakha",BT-15,27.68042500000,89.89518200000
"Samchi",BT-16,NULL,NULL
"Samdrup",BT-17,26.81000000000,91.56000000000
"Shemgang",BT-18,NULL,NULL
"Tashigang",BT-19,27.37943100000,91.87918900000
"Thimphu",BT-20,NULL,NULL
"Tongsa",BT-21,27.49996900000,90.50335700000
"Wangdi Phodrang",BT-22,27.53841000000,89.89295100000
"Central",BW-01,-21.48333400000,26.42262800000
"Chobe",BW-02,-18.30833400000,24.88333300000
"Ghanzi",BW-03,-21.70397500000,21.64618000000
"Kgalagadi",BW-04,-25.07500000000,22.07500000000
"Kgatleng",BW-05,-24.21666700000,26.35000000000
"Kweneng",BW-06,-24.03006300000,24.50000000000
"Ngamiland",BW-07,-19.24486600000,23.10000000000
"North-East",BW-08,NULL,NULL
"South-East",BW-09,NULL,NULL
"Southern",BW-10,-25.00833300000,24.39608800000
"Brestskaya Voblasts'",BY-01,NULL,NULL
"Homyel'skaya Voblasts'",BY-02,NULL,NULL
"Hrodzyenskaya Voblasts'",BY-03,NULL,NULL
"Mahilyowskaya Voblasts'",BY-06,NULL,NULL
"Minsk",BY-04,NULL,NULL
"Minskaya Voblasts'",BY-05,NULL,NULL
"Vitsyebskaya Voblasts'",BY-07,NULL,NULL
"Belize",BZ-01,NULL,NULL
"Cayo",BZ-02,NULL,NULL
"Corozal",BZ-03,NULL,NULL
"Orange Walk",BZ-04,17.77972600000,-88.71841100000
"Stann Creek",BZ-05,NULL,NULL
"Toledo",BZ-06,NULL,NULL
"Alberta",CA-01,54.50098100000,-114.99992000000
"British Columbia",CA-02,54.11574900000,-126.55071000000
"Manitoba",CA-03,54.50362900000,-95.49425500000
"New Brunswick",CA-04,46.28587500000,-66.25601500000
"Newfoundland and Labrador",CA-05,53.33712500000,-60.21835000000
"Northwest Territories",CA-13,69.36212000000,-119.24044500000
"Nova Scotia",CA-07,45.54342500000,-61.63183000000
"Nunavut",CA-14,67.13686500000,-91.09202500000
"Ontario",CA-08,49.26788000000,-84.74493000000
"Prince Edward Island",CA-09,46.63464500000,-63.05213000000
"Quebec",CA-10,46.81274000000,-71.21935000000
"Saskatchewan",CA-11,54.50071000000,-105.68423000000
"Yukon Territory",CA-12,64.83690000000,-132.39536000000
"Bandundu",CD-01,-3.30777800000,17.38333300000
"Bas-Congo",CD-08,-5.18338800000,14.25833300000
"Equateur",CD-02,1.35833400000,20.29064900000
"Kasai-Occidental",CD-03,-5.14998200000,21.73654100000
"Kasai-Oriental",CD-04,-4.85672200000,24.05833300000
"Katanga",CD-05,-9.17904500000,26.19199700000
"Kinshasa",CD-06,-4.49166600000,15.82800100000
"Kivu",CD-07,NULL,NULL
"Maniema",CD-10,-1.16748500000,28.61903000000
"Nord-Kivu",CD-11,NULL,NULL
"Orientale",CD-09,1.50539500000,26.88871900000
"Sud-Kivu",CD-12,NULL,NULL
"Bamingui-Bangoran",CF-01,8.20245900000,20.27448900000
"Bangui",CF-18,NULL,NULL
"Basse-Kotto",CF-02,4.92494400000,21.35000000000
"Haut-Mbomou",CF-05,6.07254100000,26.04166600000
"Haute-Kotto",CF-03,7.03974000000,22.51585600000
"Kemo",CF-06,5.71147100000,19.47500000000
"Lobaye",CF-07,4.25130300000,17.72709500000
"Mambere-Kadei",CF-04,4.52207500000,15.90833300000
"Mbomou",CF-08,5.24721200000,23.40000000000
"Nana-Grebizi",CF-15,6.97325700000,19.42500000000
"Nana-Mambere",CF-09,5.77355700000,15.54668000000
"Ombella-Mpoko",CF-17,4.91666700000,17.83333300000
"Ouaka",CF-11,6.14317300000,20.76937000000
"Ouham",CF-12,7.06753200000,17.86118500000
"Ouham-Pende",CF-13,6.68333300000,16.10881600000
"Sangha-Mbaere",CF-16,3.30087500000,16.30000000000
"Vakaga",CF-14,9.64351800000,22.14725500000
"Bouenza",CG-01,-4.15000000000,13.51666700000
"Brazzaville",CG-12,NULL,NULL
"Cuvette",CG-03,-0.46666700000,15.68252500000
"Kouilou",CG-04,NULL,NULL
"Lekoumou",CG-05,-3.17170500000,13.47500000000
"Likouala",CG-06,1.40141200000,17.74006000000
"Niari",CG-07,-3.38469800000,12.56870100000
"Plateaux",CG-08,-1.94166700000,15.44166700000
"Pool",CG-11,-3.90740200000,15.08288100000
"Sangha",CG-10,NULL,NULL
"Aargau",CH-01,NULL,NULL
"Ausser-Rhoden",CH-02,NULL,NULL
"Basel-Landschaft",CH-03,NULL,NULL
"Basel-Stadt",CH-04,NULL,NULL
"Bern",CH-05,NULL,NULL
"Fribourg",CH-06,NULL,NULL
"Geneve",CH-07,NULL,NULL
"Glarus",CH-08,NULL,NULL
"Graubunden",CH-09,NULL,NULL
"Inner-Rhoden",CH-10,NULL,NULL
"Jura",CH-26,NULL,NULL
"Luzern",CH-11,NULL,NULL
"Neuchatel",CH-12,NULL,NULL
"Nidwalden",CH-13,NULL,NULL
"Obwalden",CH-14,NULL,NULL
"Sankt Gallen",CH-15,NULL,NULL
"Schaffhausen",CH-16,NULL,NULL
"Schwyz",CH-17,NULL,NULL
"Solothurn",CH-18,NULL,NULL
"Thurgau",CH-19,NULL,NULL
"Ticino",CH-20,NULL,NULL
"Uri",CH-21,NULL,NULL
"Valais",CH-22,NULL,NULL
"Vaud",CH-23,NULL,NULL
"Zug",CH-24,NULL,NULL
"Zurich",CH-25,NULL,NULL
"Abengourou",CI-01,6.72909000000,-3.49142100000
"Abidjan",CI-61,NULL,NULL
"Aboisso",CI-62,5.46666700000,-3.20000000000
"Adiake",CI-63,5.29080000000,-3.32670000000
"Adzope",CI-05,6.09614300000,-3.86816300000
"Agboville",CI-06,5.92777300000,-4.22239300000
"Alepe",CI-64,NULL,NULL
"Bangolo",CI-36,7.03324800000,-7.14425500000
"Beoumi",CI-37,7.77573300000,-5.39106700000
"Biankouma",CI-07,7.73440000000,-7.61280000000
"Bocanda",CI-65,7.04810000000,-4.52840000000
"Bondoukou",CI-38,7.08333300000,-5.05000000000
"Bongouanou",CI-27,6.65000000000,-4.20000000000
"Bouafle",CI-39,6.98166000000,-5.75057500000
"Bouake",CI-40,9.61666700000,-7.41666700000
